scope,url,requested_url,method,sensitive_no_body,source_reasons,status,final_url,redirect_chain,content_type,content_length_header,bytes_read,body_sha256,title,meta_robots,warning_present,structural_issues,elapsed_ms,error
external_link,https://app1.sefaz.mt.gov.br/0425762E005567C5/9733A1D3F5BB1AB384256710004D4754/5631FD07CED41894842584490048FC5A,https://app1.sefaz.mt.gov.br/0425762E005567C5/9733A1D3F5BB1AB384256710004D4754/5631FD07CED41894842584490048FC5A,HEAD,True,html-link:beneficios/index.html:navigation;html-link:beneficios/ncm.html:navigation;html-link:beneficios/setores.html:navigation;html-link:estados/mt/legislacao/beneficios-matriz-lc160.html:navigation;html-link:estados/mt/legislacao/fiscalizacao-riscos.html:navigation;html-link:estados/mt/legislacao/fontes/mt-lc-631-2019-beneficios-lc160.html:navigation;html-link:estados/mt/legislacao/mapa-revisado-beneficios.html:navigation;html-link:estados/mt/legislacao/prodeic-desenvolvimento.html:navigation,200,https://app1.sefaz.mt.gov.br/0425762E005567C5/9733A1D3F5BB1AB384256710004D4754/5631FD07CED41894842584490048FC5A,,text/html; charset=ISO-8859-1,258911,0,,,,False,html_lang_missing;title_missing;h1_count:0;main_missing;viewport_missing,1007.656,
external_link,https://app1.sefaz.mt.gov.br/Sistema/Legislacao/legislacaotribut.nsf/173e6c0d2202fdcb03258b1700659f1e/7cd6803a7eaf464103258bf5005302a2/%24FILE/ANEXO%20%C3%9ANICO%20-%20Port.%20211.2024.pdf,https://app1.sefaz.mt.gov.br/Sistema/Legislacao/legislacaotribut.nsf/173e6c0d2202fdcb03258b1700659f1e/7cd6803a7eaf464103258bf5005302a2/%24FILE/ANEXO%20%C3%9ANICO%20-%20Port.%20211.2024.pdf,HEAD,True,html-link:beneficios/cesta-basica.html:navigation;html-link:beneficios/index.html:navigation;html-link:beneficios/ncm.html:navigation;html-link:beneficios/setores.html:navigation;html-link:estados/mt/legislacao/agro-cesta-diferimento.html:navigation;html-link:estados/mt/legislacao/documentos-cbenef-efd-prova.html:navigation;html-link:estados/mt/legislacao/fontes/mt-port-211-2024-cbenef.html:navigation;html-link:estados/mt/legislacao/isencoes-reducoes-creditos.html:navigation;html-link:estados/mt/legislacao/mapa-revisado-beneficios.html:navigation;html-link:estados/mt/legislacao/prodeic-desenvolvimento.html:navigation,200,https://app1.sefaz.mt.gov.br/Sistema/Legislacao/legislacaotribut.nsf/173e6c0d2202fdcb03258b1700659f1e/7cd6803a7eaf464103258bf5005302a2/%24FILE/ANEXO%20%C3%9ANICO%20-%20Port.%20211.2024.pdf,,application/pdf,522650,0,,,,False,,784.67,
external_link,https://app1.sefaz.mt.gov.br/sistema/legislacao/legislacaotribut.nsf/2b2e6c5ed54869788425671300480214/42abb08790833f6d84257ca200448229/%24FILE/RICMS%20-%202014-20-03-2014.pdf,https://app1.sefaz.mt.gov.br/sistema/legislacao/legislacaotribut.nsf/2b2e6c5ed54869788425671300480214/42abb08790833f6d84257ca200448229/%24FILE/RICMS%20-%202014-20-03-2014.pdf,HEAD,True,html-link:beneficios/cesta-basica.html:navigation;html-link:beneficios/index.html:navigation;html-link:beneficios/ncm.html:navigation;html-link:beneficios/setores.html:navigation;html-link:estados/mt/legislacao/agro-cesta-diferimento.html:navigation;html-link:estados/mt/legislacao/base-aliquota-apuracao.html:navigation;html-link:estados/mt/legislacao/beneficios-matriz-lc160.html:navigation;html-link:estados/mt/legislacao/documentos-cbenef-efd-prova.html:navigation;html-link:estados/mt/legislacao/fiscalizacao-riscos.html:navigation;html-link:estados/mt/legislacao/fontes/mt-dec-2212-2014-ricms.html:navigation;html-link:estados/mt/legislacao/icms-regra-matriz.html:navigation;html-link:estados/mt/legislacao/isencoes-reducoes-creditos.html:navigation;html-link:estados/mt/legislacao/mapa-revisado-beneficios.html:navigation;html-link:estados/mt/legislacao/prodeic-desenvolvimento.html:navigation;html-link:estados/mt/legislacao/st-estimativa-anexos.html:navigation,200,https://app1.sefaz.mt.gov.br/sistema/legislacao/legislacaotribut.nsf/2b2e6c5ed54869788425671300480214/42abb08790833f6d84257ca200448229/%24FILE/RICMS%20-%202014-20-03-2014.pdf,,application/pdf,10328259,0,,,,False,,973.0,
external_link,https://appasp.economia.go.gov.br/Legislacao/arquivos/Secretario/IN/IN_1518_2022.htm,https://appasp.economia.go.gov.br/Legislacao/arquivos/Secretario/IN/IN_1518_2022.htm,HEAD,True,html-link:estados/goias.html:navigation;html-link:estados/goias/legislacao/atos/in-1518-2022-cbenef-go.html:navigation;html-link:estados/goias/legislacao/cbenef-prova.html:navigation;html-link:estados/goias/legislacao/index.html:navigation,200,https://appasp.economia.go.gov.br/Legislacao/arquivos/Secretario/IN/IN_1518_2022.htm,,text/html,4015276,0,,,,False,html_lang_missing;title_missing;h1_count:0;main_missing;viewport_missing,1042.547,
external_link,https://appasp.economia.go.gov.br/legislacao/arquivos/Cte/CTE.htm,https://appasp.economia.go.gov.br/legislacao/arquivos/Cte/CTE.htm,HEAD,True,html-link:compliance-transportadoras.html:navigation;html-link:manual-fiscal.html:navigation,200,https://appasp.economia.go.gov.br/legislacao/arquivos/Cte/CTE.htm,,text/html,1998193,0,,,,False,html_lang_missing;title_missing;h1_count:0;main_missing;viewport_missing,750.667,
external_link,https://appasp.economia.go.gov.br/legislacao/arquivos/Decretos/D_10579.htm,https://appasp.economia.go.gov.br/legislacao/arquivos/Decretos/D_10579.htm,HEAD,True,html-link:painel-fiscal/index-v2-backup-2026-04-19.html:navigation;html-link:painel-fiscal/index-v3.html:navigation;html-link:painel-fiscal/index.html:navigation,200,https://appasp.economia.go.gov.br/legislacao/arquivos/Decretos/D_10579.htm,,text/html,433623,0,,,,False,html_lang_missing;title_missing;h1_count:0;main_missing;viewport_missing,887.942,
external_link,https://appasp.economia.go.gov.br/legislacao/arquivos/Indices/Indice_Sistematico_do_RCTE.htm,https://appasp.economia.go.gov.br/legislacao/arquivos/Indices/Indice_Sistematico_do_RCTE.htm,HEAD,True,html-link:painel-fiscal/index-v2-backup-2026-04-19.html:navigation;html-link:painel-fiscal/index-v3.html:navigation;html-link:painel-fiscal/index.html:navigation,200,https://appasp.economia.go.gov.br/legislacao/arquivos/Indices/Indice_Sistematico_do_RCTE.htm,,text/html,369815,0,,,,False,html_lang_missing;title_missing;h1_count:0;main_missing;viewport_missing,802.823,
external_link,https://appasp.economia.go.gov.br/legislacao/arquivos/RCTE/RCTE.htm,https://appasp.economia.go.gov.br/legislacao/arquivos/RCTE/RCTE.htm,HEAD,True,html-link:estados/goias.html:navigation;html-link:estados/goias/legislacao/atos/rcte-go.html:navigation;html-link:estados/goias/legislacao/base-aliquota-apuracao.html:navigation;html-link:estados/goias/legislacao/beneficios-regra-maior.html:navigation;html-link:estados/goias/legislacao/cbenef-prova.html:navigation;html-link:estados/goias/legislacao/diferimento-st.html:navigation;html-link:estados/goias/legislacao/icms-regra-geral.html:navigation;html-link:estados/goias/legislacao/index.html:navigation,200,https://appasp.economia.go.gov.br/legislacao/arquivos/RCTE/RCTE.htm,,text/html,9834717,0,,,,False,html_lang_missing;title_missing;h1_count:0;main_missing;viewport_missing,802.826,
external_link,https://appasp.economia.go.gov.br/legislacao/arquivos/Rcte/Anexos/ANEXO_08_Substituicao_Tributaria.htm,https://appasp.economia.go.gov.br/legislacao/arquivos/Rcte/Anexos/ANEXO_08_Substituicao_Tributaria.htm,HEAD,True,html-link:painel-fiscal/index-v2-backup-2026-04-19.html:navigation;html-link:painel-fiscal/index-v3.html:navigation;html-link:painel-fiscal/index.html:navigation,200,https://appasp.economia.go.gov.br/legislacao/arquivos/Rcte/Anexos/ANEXO_08_Substituicao_Tributaria.htm,,text/html,57150175,0,,,,False,html_lang_missing;title_missing;h1_count:0;main_missing;viewport_missing,910.443,
external_link,https://appasp.economia.go.gov.br/legislacao/arquivos/Rcte/Anexos/ANEXO_09_Beneficio_Fiscal.htm,https://appasp.economia.go.gov.br/legislacao/arquivos/Rcte/Anexos/ANEXO_09_Beneficio_Fiscal.htm,HEAD,True,html-link:beneficios/cesta-basica.html:navigation;html-link:beneficios/index.html:navigation;html-link:beneficios/ncm.html:navigation;html-link:estados/goias.html:navigation;html-link:estados/goias/legislacao/atos/anexo-ix-go.html:navigation;html-link:estados/goias/legislacao/beneficios-regra-maior.html:navigation;html-link:estados/goias/legislacao/credito-outorgado.html:navigation;html-link:estados/goias/legislacao/diferimento-st.html:navigation;html-link:estados/goias/legislacao/index.html:navigation;html-link:estados/goias/legislacao/isencoes.html:navigation;html-link:estados/goias/legislacao/reducao-base.html:navigation;html-link:painel-fiscal/index-v2-backup-2026-04-19.html:navigation;html-link:painel-fiscal/index-v3.html:navigation;html-link:painel-fiscal/index.html:navigation,200,https://appasp.economia.go.gov.br/legislacao/arquivos/Rcte/Anexos/ANEXO_09_Beneficio_Fiscal.htm,,text/html,72642382,0,,,,False,html_lang_missing;title_missing;h1_count:0;main_missing;viewport_missing,778.795,
