source_id,jurisdicao,classe,url_inicial,url_final,dominio_oficial_esperado,status_http,sha256_corpo,receipt_id,status_prova,observacao
RJ::DOE,RJ,DOE,https://www.ioerj.com.br/,,www.ioerj.com.br,,,local-RJ_DOE-20260716T171929527054Z,CAPTURA_FALHOU_ERRO_DE_REDE,Fonte institucional candidata; não é prova de regra até leitura do ato.
RN::SEFAZ_LEGISLACAO,RN,SEFAZ_LEGISLACAO,https://www.set.rn.gov.br/contentProducao/aplicacao/set_v2/legislacao/legislacao.asp,,www.set.rn.gov.br,,,local-RN_SEFAZ_LEGISLACAO-20260716T171929528054Z,CAPTURA_FALHOU_ERRO_DE_REDE,Fonte institucional candidata; não é prova de regra até leitura do ato.
RN::DOE,RN,DOE,https://diariooficial.rn.gov.br/,,diariooficial.rn.gov.br,,,local-RN_DOE-20260716T171929528054Z,CAPTURA_FALHOU_ERRO_DE_REDE,Fonte institucional candidata; não é prova de regra até leitura do ato.
SP::ASSEMBLEIA_LEGISLATIVA,SP,ASSEMBLEIA_LEGISLATIVA,https://www.al.sp.gov.br/norma/resultados?idsTipoNorma=9&tipoPesquisa=E,https://www.al.sp.gov.br/norma/resultados?idsTipoNorma=9&tipoPesquisa=E,www.al.sp.gov.br,200,8c2a83b8465c55e6ef6f36c792622559f65bb1e21d972cfdf5cce0707ed4818a,local-SP_ASSEMBLEIA_LEGISLATIVA-20260716T171929528054Z,CAPTURA_LOCAL_PENDENTE_DE_LEITURA_E_REFETCH,Fonte institucional candidata; não é prova de regra até leitura do ato.
BR::PLANALTO,BR,PLANALTO,https://www.planalto.gov.br/ccivil_03/leis/_lei-principal.htm,,www.planalto.gov.br,,,local-BR_PLANALTO-20260716T171929529055Z,CAPTURA_FALHOU_ERRO_DE_REDE,Fonte institucional candidata; não é prova de regra até leitura do ato.
BR::STF,BR,STF,https://portal.stf.jus.br/jurisprudencia/,https://portal.stf.jus.br/jurisprudencia/,portal.stf.jus.br,403,,local-BR_STF-20260716T171929529055Z,CAPTURA_FALHOU_HTTP_ERROR,Fonte institucional candidata; não é prova de regra até leitura do ato.
