chave,caminho_ou_id,git,filesystem,sha256,status,evidencia
arquivo::assets/flags/to.svg,assets/flags/to.svg,True,True,7cc2c68e9c7a3db01afa408a50bbcd75c53ad6392ccf3f3ef88819aa184489f4,OK,git ls-tree + filesystem
arquivo::assets/knowledge-theme-2026.css,assets/knowledge-theme-2026.css,True,True,cf77ed496b2b65b583065ef340e865a0d46c4e3a31018508ecca3ceb024e3d2f,OK,git ls-tree + filesystem
arquivo::assets/llm-manifest.json,assets/llm-manifest.json,True,True,03acca0054ea8274410537f946ced904da49f73d0bd8aa16985ca231a88a8d0c,OK,git ls-tree + filesystem
arquivo::assets/portal-search-full.json,assets/portal-search-full.json,True,True,070dd3942e731ce957eb90081d11dc1050f756e8481f179815f16f9af86b5ee6,OK,git ls-tree + filesystem
arquivo::assets/portal-search.js,assets/portal-search.js,True,True,58db6d34226f3eafcbad4da00c51a70bca8c6f826f43543415661aaefe3cde00,OK,git ls-tree + filesystem
arquivo::assets/portal-tributario.css,assets/portal-tributario.css,True,True,701fb9df5770bae637a61a6288c6b28f42600c7a16201a296bfd293e56f7f6d6,OK,git ls-tree + filesystem
arquivo::assets/portal-tributario.js,assets/portal-tributario.js,True,True,af27e26cf2507c6e324560d4c0f08e0f8dad77e83b62146e16f145a52a75bbee,OK,git ls-tree + filesystem
arquivo::auditoria/execucoes/monitor-v3-2026-07-12/achados_e_pendencias.md,auditoria/execucoes/monitor-v3-2026-07-12/achados_e_pendencias.md,True,True,6c2591422a6c97540360e2a73e35ac21174603dc7e8f043b52c99cc6ab7ba578,OK,git ls-tree + filesystem
arquivo::auditoria/execucoes/monitor-v3-2026-07-12/conformidade.json,auditoria/execucoes/monitor-v3-2026-07-12/conformidade.json,True,True,3247eb56d14a6dd709c67fc8f5613f45b1247f6a505757a8b05bf775857fb675,OK,git ls-tree + filesystem
arquivo::auditoria/execucoes/monitor-v3-2026-07-12/contrato_execucao.yaml,auditoria/execucoes/monitor-v3-2026-07-12/contrato_execucao.yaml,True,True,0b2f7f8d8b318d7b0da67c913d7ca5a2a5c1bd294e36123c850abc04c985e319,OK,git ls-tree + filesystem
arquivo::auditoria/execucoes/monitor-v3-2026-07-12/escopo_fontes_canonico.yaml,auditoria/execucoes/monitor-v3-2026-07-12/escopo_fontes_canonico.yaml,True,True,7b5f7ffe4f6eeb49fc09827712fbeb25a5e97a1fb3fbb14740fd9f0bbfc0e9b1,OK,git ls-tree + filesystem
arquivo::auditoria/execucoes/monitor-v3-2026-07-12/fontes_lidas.csv,auditoria/execucoes/monitor-v3-2026-07-12/fontes_lidas.csv,True,True,4b85a90d961317fc1e34e8704beac79c6617a382e5e1612e822942cff3a9b810,OK,git ls-tree + filesystem
arquivo::auditoria/execucoes/monitor-v3-2026-07-12/http_platform_receipts.json,auditoria/execucoes/monitor-v3-2026-07-12/http_platform_receipts.json,True,True,ffdff6e48fe37285b73d3ad9f4f60db95294a5a28b15f9a200e026a285481f39,OK,git ls-tree + filesystem
arquivo::auditoria/execucoes/monitor-v3-2026-07-12/inventario_integral.csv,auditoria/execucoes/monitor-v3-2026-07-12/inventario_integral.csv,True,True,SELF_REFERENTIAL_GIT_TREE,OK,git ls-tree + filesystem
arquivo::auditoria/execucoes/monitor-v3-2026-07-12/inventory_exclusions.csv,auditoria/execucoes/monitor-v3-2026-07-12/inventory_exclusions.csv,True,True,7253bda31eb1bfaf12f09ab6c4a3c8ab160ae17b2eda9266951ddfd7e2e6696a,OK,git ls-tree + filesystem
arquivo::auditoria/execucoes/monitor-v3-2026-07-12/ledger_verificacao.csv,auditoria/execucoes/monitor-v3-2026-07-12/ledger_verificacao.csv,True,True,ea0b195f791b4b9ff122cb3b96ef9ddecdc7898da349310f420965ce2b84b40a,OK,git ls-tree + filesystem
arquivo::auditoria/execucoes/monitor-v3-2026-07-12/matriz_fontes_canonicas.csv,auditoria/execucoes/monitor-v3-2026-07-12/matriz_fontes_canonicas.csv,True,True,e46ed1f1bc17f3a839382f00e4dbd2254b061f7219e839c069edc21f7ae5e6dc,OK,git ls-tree + filesystem
arquivo::auditoria/execucoes/monitor-v3-2026-07-12/relatorio_conformidade.md,auditoria/execucoes/monitor-v3-2026-07-12/relatorio_conformidade.md,True,True,ebae62135f13fc7487106254284200bcb62d571fe9e047db7995e25abf1414db,OK,git ls-tree + filesystem
arquivo::auditoria/execucoes/monitor-v3-2026-07-12/relatorio_final.md,auditoria/execucoes/monitor-v3-2026-07-12/relatorio_final.md,True,True,5d0e00b6219fbcf4c2cfbc45724c2055f4f2897041f5b65cd8c9379e6e865880,OK,git ls-tree + filesystem
arquivo::auditoria/execucoes/monitor-v3-2026-07-12/revisao_adversarial.md,auditoria/execucoes/monitor-v3-2026-07-12/revisao_adversarial.md,True,True,3f6e35de4fcdbb50dffa513bf1b38e434bde18fb737780b884ed1b72b1a318b2,OK,git ls-tree + filesystem
